county_fips,county_name,state_abbr,population,elec_res_mwh,elec_com_mwh,elec_ind_mwh,elec_total_mwh
37099,Jackson County,NC,41227,213227.427587523,137119.960340207,173998.0642060318,524345.4521337617
37101,Johnston County,NC,182155,970778.141114644,658880.628677224,193077.32835296213,1822736.0981448302
37103,Jones County,NC,10074,66996.40979957889,18913.251783475298,11366.072020123875,97275.73360317806
37105,Lee County,NC,59540,291074.543710227,254415.075544419,259040.18809146964,804529.8073461156
37107,Lenoir County,NC,58343,386996.412621176,280021.168529131,204824.93293939397,871842.514089701
37109,Lincoln County,NC,79783,480621.390010787,332944.740657198,93312.16628996863,906878.2969579536
37111,McDowell County,NC,45013,244600.393933747,155173.54255208798,226716.3576737407,626490.2941595757
37113,Macon County,NC,33991,207331.549466884,241073.916983632,18166.41793179107,466571.88438230706
37115,Madison County,NC,21130,98052.90661798771,41487.3354947873,43506.33721986378,183046.5793326388
37117,Martin County,NC,23510,136560.207935183,98144.5561438918,30160.029364860457,264864.7934439352
37119,Mecklenburg County,NC,1011774,4556785.443949291,6756729.967593,1184812.5211201266,12498327.932662418
37121,Mitchell County,NC,15263,75208.4492418247,60925.593609077,26317.169660775435,162451.21251167712
37123,Montgomery County,NC,27475,157969.744970372,80068.2738031085,321363.9692614001,559401.9880348806
37125,Moore County,NC,93070,554907.876624853,493330.166742432,73448.02377539275,1121686.0671426777
37127,Nash County,NC,94385,628740.204368621,829801.701847433,708680.2098721093,2167222.116088163
37129,New Hanover County,NC,216430,1166038.5127827202,1413691.2931303699,1829047.0068188848,4408776.812731975
37131,Northampton County,NC,20628,139965.742466246,41378.0960687772,44404.16889381343,225748.00742883666
37133,Onslow County,NC,185755,849061.7814995019,532653.415358283,55465.90836178434,1437181.1052195693
37135,Orange County,NC,139807,643568.29829564,552733.268973146,47769.33672574581,1244070.9039945318
37137,Pamlico County,NC,12892,78468.6101700519,46709.4254259138,10715.301389839204,135893.33698580493
37139,Pasquotank County,NC,39909,224444.03145778098,215490.920093678,30032.58716491871,469967.5387163777
37141,Pender County,NC,56358,307330.12327248196,170928.247538903,30656.446291602402,508914.8171029874
37143,Perquimans County,NC,13470,90983.85157516321,23255.0888355566,4506.649478143729,118745.58988886353
37145,Person County,NC,39196,226453.743978087,122852.526489802,138301.8729897195,487608.14345760853
37147,Pitt County,NC,175150,1124018.31904354,875333.153908323,755308.7121756315,2754660.1851274944
37149,Polk County,NC,20324,124108.509255971,75656.6833385992,37165.282005709,236930.47460027924
37151,Randolph County,NC,142588,743905.2809567241,508418.112385065,627737.8037751925,1880061.1971169815
37153,Richmond County,NC,45710,278357.29560703895,223609.287516207,478416.283473597,980382.866596843
